category_name,category_ref,service_name,service_ref,aws_0_name,aws_0_ref,aws_0_icon,azure_0_name,azure_0_ref,azure_0_icon,google_0_name,google_0_ref,google_0_icon,ibm_0_name,ibm_0_ref,ibm_0_icon,oracle_0_name,oracle_0_ref,oracle_0_icon,alibaba_0_name,alibaba_0_ref,alibaba_0_icon,alibaba_1_name,alibaba_1_ref,alibaba_1_icon,ibm_1_name,ibm_1_ref,ibm_1_icon,ibm_2_name,ibm_2_ref,ibm_2_icon,aws_1_name,aws_1_ref,aws_1_icon,azure_1_name,azure_1_ref,azure_1_icon,azure_2_name,azure_2_ref,azure_2_icon,oracle_1_name,oracle_1_ref,oracle_1_icon,google_1_name,google_1_ref,google_1_icon,azure_3_name,azure_3_ref,azure_3_icon,azure_4_name,azure_4_ref,azure_4_icon,ibm_3_name,ibm_3_ref,ibm_3_icon,ibm_4_name,ibm_4_ref,ibm_4_icon,alibaba_2_name,alibaba_2_ref,alibaba_2_icon,alibaba_3_name,alibaba_3_ref,alibaba_3_icon,aws_2_name,aws_2_ref,aws_2_icon,aws_3_name,aws_3_ref,aws_3_icon,aws_4_name,aws_4_ref,aws_4_icon,aws_5_name,aws_5_ref,aws_5_icon,aws_6_name,aws_6_ref,aws_6_icon,google_2_name,google_2_ref,google_2_icon,google_3_name,google_3_ref,google_3_icon,oracle_2_name,oracle_2_ref,oracle_2_icon,oracle_3_name,oracle_3_ref,oracle_3_icon,google_4_name,google_4_ref,google_4_icon,google_5_name,google_5_ref,google_5_icon,ibm_5_name,ibm_5_ref,ibm_5_icon,ibm_6_name,ibm_6_ref,ibm_6_icon,aws_name,aws_ref,aws_icon,azure_name,azure_ref,azure_icon,google_name,google_ref,google_icon,ibm_name,ibm_ref,ibm_icon,alibaba_name,alibaba_ref,alibaba_icon,oracle_name,oracle_ref,oracle_icon
Compute,,Shared Web hosting,,,,none.png,Azure shared App Services,https://azure.microsoft.com/en-in/services/app-service/web/,Azure App Service - Web App (was Websites).png,,,none.png,Web hosting services,https://www.ibm.com/cloud/websites,ibmcloud.png,,,none.png,Web Hosting,https://www.alibabacloud.com/product/hosting,ecs.png,Simple Application Server,https://www.alibabacloud.com/product/swas,ecs.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none.png,Azure shared App Services,https://azure.microsoft.com/en-in/services/app-service/web/,Azure App Service - Web App (was Websites).png,,,none.png,Web hosting services,https://www.ibm.com/cloud/websites,ibmcloud.png,Web Hosting<br/>Simple Application Server,https://www.alibabacloud.com/product/hosting<br/>https://www.alibabacloud.com/product/swas,ecs.png<br/>ecs.png,,,none.png
Compute,,Virtual Server,,Amazon EC2,https://aws.amazon.com/ec2/,Compute_AmazonEC2.png,Azure Virtual Machine,https://docs.microsoft.com/en-us/azure/virtual-machines/,Azure Virtual Machine.png,Compute Engine,https://cloud.google.com/compute/,Compute-Engine.png,Classic Virtual Server,https://cloud.ibm.com/docs/vsi?topic=virtual-servers-about-public-virtual-servers,virtual-server.png,Compute,https://cloud.oracle.com/en_US/compute,compute.png,Alibaba ECS,https://www.alibabacloud.com/product/ecs,ecs.png,,,,Virtual Server for VPC,https://cloud.ibm.com/docs/vpc-on-classic-vsi?topic=vpc-on-classic-vsi-getting-started,virtual-server.png,Power Systems Virtual Servers,https://cloud.ibm.com/docs/infrastructure/power-iaas?topic=power-iaas-about-power-virtual-server,virtual-server.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amazon EC2,https://aws.amazon.com/ec2/,Compute_AmazonEC2.png,Azure Virtual Machine,https://docs.microsoft.com/en-us/azure/virtual-machines/,Azure Virtual Machine.png,Compute Engine,https://cloud.google.com/compute/,Compute-Engine.png,Classic Virtual Server<br/>Virtual Server for VPC<br/>Power Systems Virtual Servers,https://cloud.ibm.com/docs/vsi?topic=virtual-servers-about-public-virtual-servers<br/>https://cloud.ibm.com/docs/vpc-on-classic-vsi?topic=vpc-on-classic-vsi-getting-started<br/>https://cloud.ibm.com/docs/infrastructure/power-iaas?topic=power-iaas-about-power-virtual-server,virtual-server.png<br/>virtual-server.png<br/>virtual-server.png,Alibaba ECS,https://www.alibabacloud.com/product/ecs,ecs.png,Compute,https://cloud.oracle.com/en_US/compute,compute.png
Compute,,Bare Metal Server,,Amazon EC2 Bare Metal Instance (Preview),https://aws.amazon.com/blogs/aws/new-amazon-ec2-bare-metal-instances-with-direct-access-to-hardware/,aws.png,Azure Bare Metal Servers (Large Instance Only for SAP Hana),https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/hana-overview-architecture,Azure Virtual Machine.png,,,none.png,Bare Metal Servers,https://cloud.ibm.com/docs/bare-metal?topic=bare-metal-about-bm,virtual-server.png,Bare Metal Servers,https://cloud.oracle.com/compute/bare-metal/features,compute.png,ECS Bare Metal Instance,https://www.alibabacloud.com/product/ebm,ecs.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amazon EC2 Bare Metal Instance (Preview),https://aws.amazon.com/blogs/aws/new-amazon-ec2-bare-metal-instances-with-direct-access-to-hardware/,aws.png,Azure Bare Metal Servers (Large Instance Only for SAP Hana),https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/hana-overview-architecture,Azure Virtual Machine.png,,,none.png,Bare Metal Servers,https://cloud.ibm.com/docs/bare-metal?topic=bare-metal-about-bm,virtual-server.png,ECS Bare Metal Instance,https://www.alibabacloud.com/product/ebm,ecs.png,Bare Metal Servers,https://cloud.oracle.com/compute/bare-metal/features,compute.png
Compute,,Virtual Dedicated Host,,Amazon EC2 Dedicated Hosts,https://aws.amazon.com/ec2/dedicated-hosts/,aws.png,Azure Dedicated Host,https://azure.microsoft.com/en-in/services/virtual-machines/dedicated-host/,none.png,Sole Tenant Node (Beta),https://cloud.google.com/compute/docs/nodes/,Compute-Engine.png,Dedicated Virtual Servers Infrastructure (VSi),https://cloud.ibm.com/docs/vsi?topic=virtual-servers-dedicated-virtual-servers,virtual-server.png,Dedicated Compute Classic,https://cloud.oracle.com/compute-classic/dedicated/features,compute.png,Dedicated Host,https://www.alibabacloud.com/product/ddh,alibaba.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amazon EC2 Dedicated Hosts,https://aws.amazon.com/ec2/dedicated-hosts/,aws.png,Azure Dedicated Host,https://azure.microsoft.com/en-in/services/virtual-machines/dedicated-host/,none.png,Sole Tenant Node (Beta),https://cloud.google.com/compute/docs/nodes/,Compute-Engine.png,Dedicated Virtual Servers Infrastructure (VSi),https://cloud.ibm.com/docs/vsi?topic=virtual-servers-dedicated-virtual-servers,virtual-server.png,Dedicated Host,https://www.alibabacloud.com/product/ddh,alibaba.png,Dedicated Compute Classic,https://cloud.oracle.com/compute-classic/dedicated/features,compute.png
Compute,,Container Registration Service,,Amazon EC2 Container Registry,https://aws.amazon.com/ecr/,aws.png,Azure Container Registry ,https://azure.microsoft.com/en-in/services/container-registry/,Microsoft Azure.png,Container Registry,https://cloud.google.com/container-registry/,Container-Registry.png,IBM Cloud Container Registry,https://www.ibm.com/cloud/container-registry,registry_icon.svg,Oracle Cloud Infrastructure Registry,https://cloud.oracle.com/containers/registry,compute.png,Container Registry,https://www.alibabacloud.com/product/container-registry,ContainerServi.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amazon EC2 Container Registry,https://aws.amazon.com/ecr/,aws.png,Azure Container Registry ,https://azure.microsoft.com/en-in/services/container-registry/,Microsoft Azure.png,Container Registry,https://cloud.google.com/container-registry/,Container-Registry.png,IBM Cloud Container Registry,https://www.ibm.com/cloud/container-registry,registry_icon.svg,Container Registry,https://www.alibabacloud.com/product/container-registry,ContainerServi.png,Oracle Cloud Infrastructure Registry,https://cloud.oracle.com/containers/registry,compute.png
Compute,,Container Management Service,,Amazon EC2 Container Service,https://aws.amazon.com/ecs/,Compute_AmazonECS.png,Azure Kubernetes Service (AKS),https://azure.microsoft.com/services/kubernetes-service/,Azure Kubernetes Service.png,Kubernetes Engine,https://cloud.google.com/kubernetes-engine/,Container-Engine.png,IBM Cloud Kubernetes Service,https://www.ibm.com/cloud/container-service,containerServiceIcon.svg,Container Engine for Kubernetes (OKE),https://cloud.oracle.com/containers/kubernetes-engine,oracle.png,Container Service,https://www.alibabacloud.com/product/container-service,ContainerServi.png,Container Service for Kubernetes,https://www.alibabacloud.com/product/kubernetes,ContainerServi.png,IBM Cloud Openshift Service,https://www.ibm.com/cloud/blog/red-hat-openshift-on-ibm-cloud,containerServiceIcon.svg,,,,Amazon Elastic Container Service for Kubernetes (EKS),https://aws.amazon.com/eks/,Compute_AmazonECS.png,Azure Container Instances,https://azure.microsoft.com/en-in/services/container-instances/,Azure Container Service.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amazon EC2 Container Service<br/>Amazon Elastic Container Service for Kubernetes (EKS),https://aws.amazon.com/ecs/<br/>https://aws.amazon.com/eks/,Compute_AmazonECS.png<br/>Compute_AmazonECS.png,Azure Kubernetes Service (AKS)<br/>Azure Container Instances,https://azure.microsoft.com/services/kubernetes-service/<br/>https://azure.microsoft.com/en-in/services/container-instances/,Azure Kubernetes Service.png<br/>Azure Container Service.png,Kubernetes Engine,https://cloud.google.com/kubernetes-engine/,Container-Engine.png,IBM Cloud Kubernetes Service<br/>IBM Cloud Openshift Service,https://www.ibm.com/cloud/container-service<br/>https://www.ibm.com/cloud/blog/red-hat-openshift-on-ibm-cloud,containerServiceIcon.svg<br/>containerServiceIcon.svg,Container Service<br/>Container Service for Kubernetes,https://www.alibabacloud.com/product/container-service<br/>https://www.alibabacloud.com/product/kubernetes,ContainerServi.png<br/>ContainerServi.png,Container Engine for Kubernetes (OKE),https://cloud.oracle.com/containers/kubernetes-engine,oracle.png
Compute,,Micro Services App Development Platform,,AWS Lambda,https://aws.amazon.com/lambda/,Compute_AWSLambda.png,Azure Service Fabric,https://azure.microsoft.com/en-in/services/service-fabric/,Azure Service Fabric.png,Google Cloud Functions,https://cloud.google.com/functions/,Cloud-Functions.png,IBM Cloud Functions,https://www.ibm.com/cloud/functions,ibm-cloud-functions.png,Oracle Functions,https://www.oracle.com/cloud/cloud-native/functions/,compute.png,Function Compute,https://www.alibabacloud.com/product/function-compute,ecs.png,,,,,,,,,,,,,Azure Functions,https://azure.microsoft.com/en-in/services/functions/,Azure Functions.png,Event Grid,https://azure.microsoft.com/en-us/services/event-grid/,Azure Event Grid.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AWS Lambda,https://aws.amazon.com/lambda/,Compute_AWSLambda.png,Azure Service Fabric<br/>Azure Functions<br/>Event Grid,https://azure.microsoft.com/en-in/services/service-fabric/<br/>https://azure.microsoft.com/en-in/services/functions/<br/>https://azure.microsoft.com/en-us/services/event-grid/,Azure Service Fabric.png<br/>Azure Functions.png<br/>Azure Event Grid.png,Google Cloud Functions,https://cloud.google.com/functions/,Cloud-Functions.png,IBM Cloud Functions,https://www.ibm.com/cloud/functions,ibm-cloud-functions.png,Function Compute,https://www.alibabacloud.com/product/function-compute,ecs.png,Oracle Functions,https://www.oracle.com/cloud/cloud-native/functions/,compute.png
Compute,,Virtual Private Servers,,Amazon Lightsail,https://amazonlightsail.com/,aws.png,Azure App Service Environment,https://docs.microsoft.com/en-us/azure/app-service-web/app-service-app-service-environment-intro,Azure App Service - Web App (was Websites).png,,,none.png,Classic Virtual Server,https://cloud.ibm.com/docs/vsi?topic=virtual-servers-about-public-virtual-servers,virtual-server.png,,,none.png,Simple Application Server,https://www.alibabacloud.com/product/swas#product-details,alibaba.png,,,,Virtual Server for VPC,https://cloud.ibm.com/docs/vpc-on-classic-vsi?topic=vpc-on-classic-vsi-getting-started,virtual-server.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amazon Lightsail,https://amazonlightsail.com/,aws.png,Azure App Service Environment,https://docs.microsoft.com/en-us/azure/app-service-web/app-service-app-service-environment-intro,Azure App Service - Web App (was Websites).png,,,none.png,Classic Virtual Server<br/>Virtual Server for VPC,https://cloud.ibm.com/docs/vsi?topic=virtual-servers-about-public-virtual-servers<br/>https://cloud.ibm.com/docs/vpc-on-classic-vsi?topic=vpc-on-classic-vsi-getting-started,virtual-server.png<br/>virtual-server.png,Simple Application Server,https://www.alibabacloud.com/product/swas#product-details,alibaba.png,,,none.png
Compute,,Auto Scaling,,Auto Scaling,https://aws.amazon.com/autoscaling/,aws.png,Azure Autoscale,https://azure.microsoft.com/en-us/features/autoscale/,Azure App Service - Web App (was Websites).png,Auto Scaler,https://cloud.google.com/compute/docs/autoscaler/,Blue-Hexagon.png,Auto Scaling,https://www.ibm.com/cloud/auto-scaling,auto-scaling.png,Auto Scaling,https://docs.oracle.com/en/cloud/paas/psmon/automatic-scaling.html,oracle.png,Auto Scaling,https://www.alibabacloud.com/product/auto-scaling,alibaba.png,,,,,,,,,,,,,Virtual Machine Scale Sets,https://docs.microsoft.com/en-us/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-overview,Azure VM Scale Set.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto Scaling,https://aws.amazon.com/autoscaling/,aws.png,Azure Autoscale<br/>Virtual Machine Scale Sets,https://azure.microsoft.com/en-us/features/autoscale/<br/>https://docs.microsoft.com/en-us/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-overview,Azure App Service - Web App (was Websites).png<br/>Azure VM Scale Set.png,Auto Scaler,https://cloud.google.com/compute/docs/autoscaler/,Blue-Hexagon.png,Auto Scaling,https://www.ibm.com/cloud/auto-scaling,auto-scaling.png,Auto Scaling,https://www.alibabacloud.com/product/auto-scaling,alibaba.png,Auto Scaling,https://docs.oracle.com/en/cloud/paas/psmon/automatic-scaling.html,oracle.png
Compute,,Batch Jobs,https://en.wikipedia.org/wiki/Batch_processing,AWS Batch,https://aws.amazon.com/batch/,aws.png,Azure Batch,https://azure.microsoft.com/en-in/services/batch/,Azure Batch.png,Preemptible VMs,https://cloud.google.com/preemptible-vms/,Compute-Engine.png,IBM Cloud Functions,https://www.ibm.com/cloud/functions,ibm-cloud-functions.png,,,none.png,Batch Compute,https://www.alibabacloud.com/product/batch-compute,alibaba.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AWS Batch,https://aws.amazon.com/batch/,aws.png,Azure Batch,https://azure.microsoft.com/en-in/services/batch/,Azure Batch.png,Preemptible VMs,https://cloud.google.com/preemptible-vms/,Compute-Engine.png,IBM Cloud Functions,https://www.ibm.com/cloud/functions,ibm-cloud-functions.png,Batch Compute,https://www.alibabacloud.com/product/batch-compute,alibaba.png,,,none.png
